id_cpu,name,score
1,"AMD A10 Micro-6700T APU
",1345
2,"AMD A10 PRO-7350B APU
",1745
3,"AMD A10 PRO-7800B APU
",2981
4,"AMD A10 PRO-7850B APU
",3082
5,"AMD A10-4600M APU
",2051
6,"AMD A10-4655M APU
",1626
7,"AMD A10-4657M APU
",1754
8,"AMD A10-5700 APU
",2568
9,"AMD A10-5745M APU
",1539
10,"AMD A10-5750M APU
",1843
11,"AMD A10-5757M APU
",2096
12,"AMD A10-5800B APU
",2833
13,"AMD A10-5800K APU
",2964
14,"AMD A10-6700 APU
",3128
15,"AMD A10-6700T APU
",2445
16,"AMD A10-6790K APU
",3178
17,"AMD A10-6800B APU
",2796
18,"AMD A10-6800K APU
",3308
19,"AMD A10-7300 APU
",1614
20,"AMD A10-7400P
",2046
21,"AMD A10-7700K APU
",3110
22,"AMD A10-7800 APU
",3097
23,"AMD A10-7850K APU
",3083
24,"AMD A10-7860K
",3322
25,"AMD A10-7870K
",3616
26,"AMD A10-7890K
",3648
27,"AMD A10-8700P
",2230
28,"AMD A10-8750
",3334
29,"AMD A10-8850
",3685
30,"AMD A10-9600P
",2240
31,"AMD A10-9620P
",2703
32,"AMD A10-9630P
",2811
33,"AMD A10-9700
",3446
34,"AMD A10-9700E
",2889
35,"AMD A12-9700P
",2495
36,"AMD A12-9720P
",2658
37,"AMD A12-9730P
",2818
38,"AMD A12-9800
",3545
39,"AMD A12-9800E
",3197
40,"AMD A4 Micro-6400T APU
",1046
41,"AMD A4 PRO-3340B
",1258
42,"AMD A4 PRO-7300B APU
",1562
43,"AMD A4 PRO-7350B
",1009
44,"AMD A4-1200 APU
",334
45,"AMD A4-1250 APU
",396
46,"AMD A4-3300 APU
",943
47,"AMD A4-3300M APU
",601
48,"AMD A4-3305M APU
",773
49,"AMD A4-3310MX APU
",816
50,"AMD A4-3320M APU
",849
51,"AMD A4-3330MX APU
",789
52,"AMD A4-3400 APU
",1002
53,"AMD A4-3420 APU
",1093
54,"AMD A4-4000 APU
",1106
55,"AMD A4-4020 APU
",1379
56,"AMD A4-4300M APU
",1011
57,"AMD A4-4355M APU
",770
58,"AMD A4-5000 APU
",1265
59,"AMD A4-5050 APU
",1112
60,"AMD A4-5100 APU
",1069
61,"AMD A4-5150M APU
",1241
62,"AMD A4-5300 APU
",1136
63,"AMD A4-5300B APU
",1117
64,"AMD A4-6210 APU
",1451
65,"AMD A4-6250J APU
",1663
66,"AMD A4-6300 APU
",1358
67,"AMD A4-6300B APU
",1579
68,"AMD A4-6320 APU
",1630
69,"AMD A4-7210 APU
",1721
70,"AMD A4-7300 APU
",1582
71,"AMD A4-9120
",1146
72,"AMD A4-9120C
",900
73,"AMD A4-9125
",1244
74,"AMD A6 Micro-6500T APU
",1194
75,"AMD A6 PRO-7050B APU
",978
76,"AMD A6 PRO-7400B
",1505
77,"AMD A6-1450 APU
",856
78,"AMD A6-3400M APU
",1160
79,"AMD A6-3410MX APU
",1237
80,"AMD A6-3420M APU
",1320
81,"AMD A6-3430MX APU
",1295
82,"AMD A6-3500 APU
",1247
83,"AMD A6-3600 APU
",1659
84,"AMD A6-3620 APU
",1764
85,"AMD A6-3650 APU
",2013
86,"AMD A6-3670 APU
",2061
87,"AMD A6-4400M APU
",1051
88,"AMD A6-4455M APU
",811
89,"AMD A6-5200 APU
",1495
90,"AMD A6-5345M APU
",1233
91,"AMD A6-5350M APU
",1294
92,"AMD A6-5357M APU
",1351
93,"AMD A6-5400B APU
",1456
94,"AMD A6-5400K APU
",1264
95,"AMD A6-6310 APU
",1609
96,"AMD A6-6400B APU
",1776
97,"AMD A6-6400K APU
",1223
98,"AMD A6-6420B APU
",1703
99,"AMD A6-6420K APU
",1678
100,"AMD A6-7000 
",995
101,"AMD A6-7310 APU
",1679
102,"AMD A6-7400K APU
",1538
103,"AMD A6-7470K
",1827
104,"AMD A6-7480
",2053
105,"AMD A6-8500P
",1381
106,"AMD A6-8550
",1680
107,"AMD A6-9200
",962
108,"AMD A6-9210
",1100
109,"AMD A6-9220
",1311
110,"AMD A6-9220C
",1212
111,"AMD A6-9220e
",937
112,"AMD A6-9225
",1342
113,"AMD A6-9230
",1229
114,"AMD A6-9400
",2717
115,"AMD A6-9500
",1911
116,"AMD A6-9500E
",1843
117,"AMD A8 PRO-7150B APU
",1488
118,"AMD A8 PRO-7600B APU
",2568
119,"AMD A8-3500M APU
",1241
120,"AMD A8-3510MX APU
",1525
121,"AMD A8-3520M APU
",1319
122,"AMD A8-3530MX APU
",1432
123,"AMD A8-3550MX APU
",1528
124,"AMD A8-3800 APU
",1843
125,"AMD A8-3820 APU
",1983
126,"AMD A8-3850 APU
",2234
127,"AMD A8-3870K APU
",2318
128,"AMD A8-4500M APU
",1720
129,"AMD A8-4555M APU
",1398
130,"AMD A8-5500 APU
",2560
131,"AMD A8-5500B APU
",2645
132,"AMD A8-5545M APU
",1830
133,"AMD A8-5550M APU
",1973
134,"AMD A8-5557M APU
",1975
135,"AMD A8-5600K APU
",2809
136,"AMD A8-6410 APU
",1765
137,"AMD A8-6500 APU
",2514
138,"AMD A8-6500B APU
",3049
139,"AMD A8-6500T APU
",1996
140,"AMD A8-6600K APU
",2969
141,"AMD A8-7050
",1112
142,"AMD A8-7100 APU
",1631
143,"AMD A8-7200P
",2125
144,"AMD A8-7410 APU
",1928
145,"AMD A8-7500
",4488
146,"AMD A8-7600 APU
",3199
147,"AMD A8-7650K
",2771
148,"AMD A8-7670K
",3379
149,"AMD A8-7680
",3587
150,"AMD A8-8600P
",2207
151,"AMD A8-8650
",3408
152,"AMD A8-9600
",3308
153,"AMD A9-9400
",1353
154,"AMD A9-9410
",1356
155,"AMD A9-9420
",1498
156,"AMD A9-9420e
",1230
157,"AMD A9-9425
",1536
158,"AMD A9-9430
",1584
159,"AMD Athlon 1500+
",294
160,"AMD Athlon 1640B
",633
161,"AMD Athlon 200GE
",4279
162,"AMD Athlon 220GE
",4506
163,"AMD Athlon 240GE
",4821
164,"AMD Athlon 2650e
",422
165,"AMD Athlon 2800+
",448
166,"AMD Athlon 2850e
",512
167,"AMD Athlon 3000G
",4629
168,"AMD Athlon 300GE
",4892
169,"AMD Athlon 300U
",4141
170,"AMD Athlon 5000 Dual-Core
",797
171,"AMD Athlon 5150 APU
",1316
172,"AMD Athlon 5200 Dual-Core
",761
173,"AMD Athlon 5350 APU
",1724
174,"AMD Athlon 5370 APU
",1561
175,"AMD Athlon 64 2000+
",238
176,"AMD Athlon 64 2600+
",374
177,"AMD Athlon 64 2800+
",376
178,"AMD Athlon 64 3000+
",473
179,"AMD Athlon 64 3100+
",484
180,"AMD Athlon 64 3200+
",510
181,"AMD Athlon 64 3300+
",477
182,"AMD Athlon 64 3400+
",577
183,"AMD Athlon 64 3500+
",563
184,"AMD Athlon 64 3700+
",606
185,"AMD Athlon 64 3800+
",635
186,"AMD Athlon 64 4000+
",494
187,"AMD Athlon 64 FX-55
",622
188,"AMD Athlon 64 FX-57
",795
189,"AMD Athlon 64 FX-59
",716
190,"AMD Athlon 64 FX-60 Dual Core
",1201
191,"AMD Athlon 64 FX-62 Dual Core
",808
192,"AMD Athlon 64 FX-74
",1495
193,"AMD Athlon 64 X2 3800+
",959
194,"AMD Athlon 64 X2 Dual Core 3400+
",590
195,"AMD Athlon 64 X2 Dual Core 3600+
",930
196,"AMD Athlon 64 X2 Dual Core 3800+
",817
197,"AMD Athlon 64 X2 Dual Core 4000+
",1086
198,"AMD Athlon 64 X2 Dual Core 4200+
",888
199,"AMD Athlon 64 X2 Dual Core 4400+
",751
200,"AMD Athlon 64 X2 Dual Core 4600+
",1214
201,"AMD Athlon 64 X2 Dual Core 4800+
",1200
202,"AMD Athlon 64 X2 Dual Core 5000+
",1088
203,"AMD Athlon 64 X2 Dual Core 5200+
",760
204,"AMD Athlon 64 X2 Dual Core 5400+
",861
205,"AMD Athlon 64 X2 Dual Core 5600+
",861
206,"AMD Athlon 64 X2 Dual Core 5800+
",885
207,"AMD Athlon 64 X2 Dual Core 6000+
",995
208,"AMD Athlon 64 X2 Dual Core 6400+
",1103
209,"AMD Athlon 64 X2 Dual Core BE-2300
",1082
210,"AMD Athlon 64 X2 Dual Core BE-2350
",1045
211,"AMD Athlon 64 X2 Dual Core TK-53
",840
212,"AMD Athlon 64 X2 Dual Core TK-55
",839
213,"AMD Athlon 64 X2 Dual-Core TK-42
",884
214,"AMD Athlon 64 X2 Dual-Core TK-53
",911
215,"AMD Athlon 64 X2 Dual-Core TK-55
",868
216,"AMD Athlon 64 X2 Dual-Core TK-57
",950
217,"AMD Athlon 64 X2 QL-60
",404
218,"AMD Athlon 64 X2 QL-62
",409
219,"AMD Athlon 64 X2 QL-64
",588
220,"AMD Athlon 64 X2 QL-65
",498
221,"AMD Athlon 64 X2 QL-66
",455
222,"AMD Athlon 64 X2 QL-67
",448
223,"AMD Athlon 7450 Dual-Core
",835
224,"AMD Athlon 7550 Dual-Core
",875
225,"AMD Athlon 7750 Dual-Core
",1055
226,"AMD Athlon 7850 Dual-Core
",1130
227,"AMD Athlon Dual Core 4050e
",621
228,"AMD Athlon Dual Core 4450B
",688
229,"AMD Athlon Dual Core 4450e
",734
230,"AMD Athlon Dual Core 4850B
",807
231,"AMD Athlon Dual Core 4850e
",803
232,"AMD Athlon Dual Core 5000B
",844
233,"AMD Athlon Dual Core 5050e
",842
234,"AMD Athlon Dual Core 5200B
",761
235,"AMD Athlon Dual Core 5400B
",917
236,"AMD Athlon Dual Core 5600B
",819
237,"AMD Athlon II 160u
",303
238,"AMD Athlon II 170u
",375
239,"AMD Athlon II Dual-Core M300
",588
240,"AMD Athlon II Dual-Core M320
",569
241,"AMD Athlon II Dual-Core M340
",573
242,"AMD Athlon II N330 Dual-Core
",690
243,"AMD Athlon II N350 Dual-Core
",796
244,"AMD Athlon II N370 Dual-Core
",933
245,"AMD Athlon II Neo K125
",312
246,"AMD Athlon II Neo K145
",309
247,"AMD Athlon II Neo K325 Dual-Core
",432
248,"AMD Athlon II Neo K345 Dual-Core
",547
249,"AMD Athlon II Neo N36L Dual-Core
",433
250,"AMD Athlon II P320 Dual-Core
",618
251,"AMD Athlon II P340 Dual-Core
",762
252,"AMD Athlon II P360 Dual-Core
",723
253,"AMD Athlon II X2 210e
",1149
254,"AMD Athlon II X2 215
",897
255,"AMD Athlon II X2 220
",1008
256,"AMD Athlon II X2 235e
",972
257,"AMD Athlon II X2 240
",854
258,"AMD Athlon II X2 240e
",968
259,"AMD Athlon II X2 245
",981
260,"AMD Athlon II X2 245e
",1046
261,"AMD Athlon II X2 250
",1075
262,"AMD Athlon II X2 250e
",1086
263,"AMD Athlon II X2 250u
",512
264,"AMD Athlon II X2 255
",1139
265,"AMD Athlon II X2 260
",1089
266,"AMD Athlon II X2 260u
",630
267,"AMD Athlon II X2 265
",1203
268,"AMD Athlon II X2 270
",1233
269,"AMD Athlon II X2 270u
",701
270,"AMD Athlon II X2 280
",1201
271,"AMD Athlon II X2 4300e
",884
272,"AMD Athlon II X2 4400e
",812
273,"AMD Athlon II X2 4450e
",900
274,"AMD Athlon II X2 B22
",1018
275,"AMD Athlon II X2 B24
",1044
276,"AMD Athlon II X2 B26
",1179
277,"AMD Athlon II X2 B28
",1223
278,"AMD Athlon II X3 400e
",1332
279,"AMD Athlon II X3 405e
",1332
280,"AMD Athlon II X3 415e
",1394
281,"AMD Athlon II X3 420e
",1477
282,"AMD Athlon II X3 425
",1523
283,"AMD Athlon II X3 435
",1681
284,"AMD Athlon II X3 440
",1749
285,"AMD Athlon II X3 445
",1595
286,"AMD Athlon II X3 450
",1661
287,"AMD Athlon II X3 455
",1780
288,"AMD Athlon II X3 460
",1851
289,"AMD Athlon II X4 553
",2434
290,"AMD Athlon II X4 555
",2326
291,"AMD Athlon II X4 559
",2563
292,"AMD Athlon II X4 600e
",1713
293,"AMD Athlon II X4 605e
",1792
294,"AMD Athlon II X4 610e
",1792
295,"AMD Athlon II X4 615e
",1881
296,"AMD Athlon II X4 620
",1986
297,"AMD Athlon II X4 630
",2036
298,"AMD Athlon II X4 631 Quad-Core
",2087
299,"AMD Athlon II X4 635
",2191
300,"AMD Athlon II X4 638 Quad-Core
",1960
301,"AMD Athlon II X4 640
",2142
302,"AMD Athlon II X4 641 Quad-Core
",1914
303,"AMD Athlon II X4 645
",2034
304,"AMD Athlon II X4 650
",2381
305,"AMD Athlon II X4 651 Quad-Core
",2191
306,"AMD Athlon II X4 655
",2053
307,"AMD Athlon L110
",303
308,"AMD Athlon LE-1600
",634
309,"AMD Athlon LE-1620
",648
310,"AMD Athlon LE-1640
",661
311,"AMD Athlon LE-1660
",641
312,"AMD Athlon Neo MV-40
",440
313,"AMD Athlon Neo X2 Dual Core 6850e
",457
314,"AMD Athlon Neo X2 Dual Core L325
",529
315,"AMD Athlon Neo X2 Dual Core L335
",540
316,"AMD Athlon PRO 200GE
",4077
317,"AMD Athlon PRO 300GE
",4318
318,"AMD Athlon TF-20
",412
